代碼,標的名稱,風險等級,幣別,投資區域,國內外,類型1,類型2,標的類型,配息方式,標準差％,夏普值,β係數,漲跌％,漲跌,基金規模,成立日期,一個月％,三個月％,六個月％,今年來％,一年％,二年％,三年％,五年％,展望
3784,安本印度債券基金A月中配息美元,穩健型,美元,印度,國外,債券型,債券型,國外-債券型,月配,5.21,0.27,-0.05,0.32,0.03,185百萬(美元),2017/8/9,4.48,3.62,1.71,3.35,5.74,9.95,3.62,16.02,受惠廣大的國內市場，印度成長動能強勁。印度市場是以內資資金為主要參與對象，穩定的現金流挹注使印股表現較為穩健也突顯其投資優勢。
3901,高盛投資級公司債基金,保守型,美元,全球,國外,債券型,債券型,國外-債券型,無,6.8,0.14,1.06,0.3,4.56,4588百萬(美元),2011/5/2,-0.15,2.47,-1.16,2.47,4.42,8.55,0.94,6.15,"1.川普2.0美國景氣有撐，非投資級債可受惠經濟成長。
2.聯準會緩降息，美國非投資級債殖利率具吸引力，且利率波動風險低。
3.美國非投資等級債企業基本面優異，可望使違約率維持於低檔。"
3902,高盛亞洲債券基金(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,亞洲,國外,債券型,債券型,國外-債券型,無,3.88,0.33,0.54,-0.2,-3.76,187百萬(美元),1996/11/26,-0.11,1.96,0.49,1.96,5.7,10.63,4.48,-0.31,債市殖利率普遍墊高，市場已反應聯準會將緩降息的預期，長天期公債殖利率恐仍有上揚風險。各債市中，公債或投資級債券殖利率仍顯著高於金融海嘯後平均水準。非投資級債之殖利率儘管較高，然而利差已降至低檔，需要嚴選持債。
3903,高盛美國高股息基金(本基金無保證收益),穩健型,美元,美國,國外,股票型,高股息,國外-股票型,無,11.89,0.08,0.89,0.21,1.86,514百萬(美元),2005/3/31,-5.55,-2.16,-2.33,-2.16,4.14,30.17,25.05,113.9,川普關稅陰霾揮之不去，美股續跌，美國初領失業金及續領失業金人數均優於預期，顯示就業市場仍穩健。建議可採左側交易方式，分批進場。
3904,高盛環球高股息基金(本基金無保證收益),穩健型,美元,全球,國外,股票型,高股息,國外-股票型,無,9.12,0.23,0.82,0.27,1.92,652百萬(美元),2006/4/17,-1.31,4.21,1.25,4.21,8.35,23.36,21.37,97.64,川普關稅疑雲致全球股市震盪劇烈，不過基本面仍看好，建議可採左側交易，分批進場佈局。
3908,高盛大中華股票基金,積極型,美元,大中華,國外,股票型,股票型,國外-股票型,無,25.82,0.18,0.94,1.13,12.52,145百萬(美元),1999/10/4,-4.83,1.96,-5.99,1.96,15.88,9.4,-11.96,0.22,中國股市近期表現較佳，主要是因政府支持經濟的政策以及DeepSeek人工智慧（AI）突破所帶來的光環效應推動。惟因中國市場仍存在政策性風險，建議謹慎評估自身風險承受度再進行投資。
3909,高盛環球非投資等級債券基金(本基金之配息來源可能為本金),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,無,3.6,0.36,0.8,0.17,0.73,1744百萬(美元),2010/7/9,-0.01,1.84,-0.01,1.84,5.82,13.82,6.46,29.32,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
3910,高盛氣候與環境永續基金,積極型,美元,全球,國外,天然資源,天然資源,國外-天然資源,無,13.28,-0.09,0.52,0.78,10.09,205百萬(美元),1997/12/1,-2.98,1.42,-7.23,1.42,-3.6,1.71,-4.41,64.7,中東地緣緊張情勢升溫推動油價上漲，屬波動性較大之標的，宜謹慎布局。
3911,高盛新興市場增強股票基金(本基金非屬環境、社會及治理相關主題基金),積極型,美元,新興市場,國外,股票型,股票型,國外-股票型,無,9.05,0.24,0.88,0.75,15.34,1010百萬(美元),1994/7/4,1.43,3.51,-3.47,3.51,8.8,15.3,0.52,44.96,聯準會維持基準利率不變、主席鮑爾淡化關稅對通膨的影響，帶動新興股市多數走揚，建議可分批布局。
3912,高盛新興市場債券基金(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,無,5.8,0.26,0.8,0.36,1.31,5614百萬(美元),2012/1/31,-0.82,1.93,0.18,1.93,6.4,17.92,7.46,18.2,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
3913,高盛新興市場債券基金-歐元對沖(本基金有相當比重投資於非投資等級之高風險債券),穩健型,歐元,新興市場,國外,債券型,債券型,國外-債券型,無,5.81,0.16,0.8,0.35,15.82,5614百萬(美元),2003/7/28,-1.02,1.44,-0.76,1.44,4.44,13.41,0.38,7.76,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
3914,高盛環球非投資等級債基金-歐元對沖(本基金之配息來源可能為本金),穩健型,歐元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,無,2.89,0.3,0.8,0.14,0.73,1744百萬(美元),2001/5/18,-1.28,0.19,-0.03,0.19,4.22,10.41,1.75,21.11,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
3915,高盛美國高股息基金-歐元對沖(本基金無保證收益),穩健型,歐元,美國,國外,股票型,高股息,國外-股票型,無,11.88,0.05,0.89,0.21,1.36,514百萬(美元),2010/3/24,-5.65,-2.56,-3.05,-2.56,2.47,25.76,17.47,95.28,川普關稅陰霾揮之不去，美股續跌，美國初領失業金及續領失業金人數均優於預期，顯示就業市場仍穩健。建議可採左側交易方式，分批進場。
3916,高盛環球高股息基金-歐元(本基金無保證收益),穩健型,歐元,全球,國外,股票型,高股息,國外-股票型,無,9.09,0.23,0.77,0.19,1.28,652百萬(美元),2002/5/3,-5.06,-0.19,3.74,-0.19,8.23,23.98,23.9,99.65,川普關稅疑雲致全球股市震盪劇烈，不過基本面仍看好，建議可採左側交易，分批進場佈局。
3917,高盛亞洲收益基金X股美元(本基金無保證收益),積極型,美元,亞洲,國外,股票型,股票型,國外-股票型,無,11.73,0.19,0.75,1.1,12.31,100百萬(美元),1994/7/5,-2.12,-1.81,-7.39,-1.81,8.46,17.15,-6.52,26.27,美國汽車關稅政策拖累美股，亦同時壓抑亞股表現，風險屬性較積極者建議可採取左側交易，分批進場；保守型投資人較不建議。
3918,高盛旗艦多元資產對沖級別美元,穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,無,7.17,0.02,0.67,0.39,1.1,366百萬(美元),2015/8/12,-3.16,-1.72,-2.69,-1.72,1.48,10.07,1.56,9.45,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
3919,高盛旗艦多元資產基金X股歐元,穩健型,歐元,全球,國外,平衡型,平衡型,國外-平衡型,無,7.15,-0.05,0.67,0.39,1.04,366百萬(美元),2011/10/7,-3.26,-2.07,-3.46,-2.07,-0.17,6.28,-4.4,1.01,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
3920,高盛全球環境轉型基金X─美元,積極型,美元,全球,國外,能源,能源,國外-能源,無,11.35,0.01,0.55,0.54,7.6,43百萬(美元),1997/12/1,-3.12,0.64,-1.02,0.64,1.08,20.05,26.08,184.43,現階段較無明顯之利多，波動性相對大，宜謹慎投資。
3921,高盛全球環境轉型基金X─歐元,積極型,歐元,全球,國外,能源,能源,國外-能源,無,12.75,0.01,0.44,0.46,4.97,43百萬(美元),2008/6/25,-6.8,-3.61,1.41,-3.61,0.97,20.64,28.7,187.37,現階段較無明顯之利多，波動性相對大，宜謹慎投資。
3977,高盛旗艦多元資產對沖美元(月現)(本基金之配息來源可能為本金),穩健型,美元,全球,國外,平衡型,平衡型,國外-平衡型,月配,7.17,0.02,0.67,0.4,0.67,366百萬(美元),2015/8/12,-3.14,-1.7,-2.75,-1.7,1.48,10.05,1.6,9.53,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
3978,高盛旗艦多元資產對沖澳幣(月現)(本基金之配息來源可能為本金),穩健型,澳幣,全球,國外,平衡型,平衡型,國外-平衡型,月配,7.13,-0.02,0.66,0.39,0.6,366百萬(美元),2015/8/12,-3.17,-1.73,-2.85,-1.73,0.6,7.26,-2.52,4.02,股票部位較能提供資本利得，債券部位則可提供合理收益水準，透過股債配置方式可降低投組波動，並有效分散投資風險，適合長期投資。
3979,高盛亞洲收益基金X股美元-月配現(本基金並無保證收益及配息且配息來源可能為本金),積極型,美元,亞洲,國外,股票型,股票型,國外-股票型,月配,11.73,0.19,0.54,1.11,1.54,100百萬(美元),2013/11/5,-2.13,-1.81,-7.38,-1.81,8.46,17.13,-6.52,26.36,美國汽車關稅政策拖累美股，亦同時壓抑亞股表現，風險屬性較積極者建議可採取左側交易，分批進場；保守型投資人較不建議。
3980,高盛亞洲收益對沖級別澳幣-月配現(本基金並無保證收益及配息且配息來源可能為本金),積極型,澳幣,亞洲,國外,股票型,股票型,國外-股票型,月配,10.5,0.23,0.52,1.11,1.6,100百萬(美元),2013/11/4,-1.84,-1.52,-4.26,-1.52,9.64,19.84,-1.74,26.99,美國汽車關稅政策拖累美股，亦同時壓抑亞股表現，風險屬性較積極者建議可採取左側交易，分批進場；保守型投資人較不建議。
3981,高盛投資級公司債-月配現(本基金之配息來源可能為本金),保守型,美元,全球,國外,債券型,債券型,國外-債券型,月配,6.8,0.14,1.07,0.3,0.28,4588百萬(美元),2011/5/2,-0.15,2.47,-1.16,2.47,4.43,8.54,0.93,6.13,"1.川普2.0美國景氣有撐，非投資級債可受惠經濟成長。
2.聯準會緩降息，美國非投資級債殖利率具吸引力，且利率波動風險低。
3.美國非投資等級債企業基本面優異，可望使違約率維持於低檔。"
3982,高盛亞洲債券基金-月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,亞洲,國外,債券型,債券型,國外-債券型,月配,3.89,0.33,0.55,-0.21,-0.12,187百萬(美元),2010/10/1,-0.11,1.95,0.48,1.95,5.69,10.62,4.46,-0.34,債市殖利率普遍墊高，市場已反應聯準會將緩降息的預期，長天期公債殖利率恐仍有上揚風險。各債市中，公債或投資級債券殖利率仍顯著高於金融海嘯後平均水準。非投資級債之殖利率儘管較高，然而利差已降至低檔，需要嚴選持債。
3983,高盛環球非投資等級債券基金-月配現(本基金之配息來源可能為本金),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,3.59,0.36,0.8,0.16,0.07,1744百萬(美元),2010/7/9,-0.03,1.85,-0.01,1.85,5.83,13.83,6.5,29.38,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
3984,高盛新興市場債券-月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,美元,新興市場,國外,債券型,債券型,國外-債券型,月配,5.8,0.26,0.8,0.37,0.16,5614百萬(美元),2012/1/6,-0.81,1.94,0.19,1.94,6.4,17.9,7.49,18.23,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
3985,高盛新興市場債券-月配現澳幣對沖(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,新興市場,國外,債券型,債券型,國外-債券型,月配,5.82,0.21,0.8,0.36,0.32,5614百萬(美元),2012/8/22,-0.86,1.89,-0.06,1.89,5.38,14.85,2.89,11.8,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
3986,高盛投資級公司債-月配現澳幣對沖(本基金之配息來源可能為本金),保守型,澳幣,全球,國外,債券型,債券型,國外-債券型,月配,6.84,0.11,1.07,0.29,0.6,4588百萬(美元),2012/8/22,-0.19,2.4,-1.41,2.4,3.6,5.94,-3.08,0.89,"1.川普2.0美國景氣有撐，非投資級債可受惠經濟成長。
2.聯準會緩降息，美國非投資級債殖利率具吸引力，且利率波動風險低。
3.美國非投資等級債企業基本面優異，可望使違約率維持於低檔。"
3987,高盛亞洲債券-月配現澳幣對沖(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,澳幣,亞洲,國外,債券型,債券型,國外-債券型,月配,3.88,0.27,0.54,-0.22,-0.29,187百萬(美元),2012/8/22,-0.15,1.93,0.36,1.93,4.95,8.25,0.91,-4.43,債市殖利率普遍墊高，市場已反應聯準會將緩降息的預期，長天期公債殖利率恐仍有上揚風險。各債市中，公債或投資級債券殖利率仍顯著高於金融海嘯後平均水準。非投資級債之殖利率儘管較高，然而利差已降至低檔，需要嚴選持債。
3988,高盛環球非投資等級債-月現歐元對沖(本基金之配息來源可能為本金),穩健型,歐元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,2.87,0.31,0.79,0.14,0.61,1744百萬(美元),2009/10/22,-1.26,0.27,0.02,0.27,4.32,10.64,2.05,21.49,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
3989,高盛環球非投資等級債-月現澳幣對沖(本基金之配息來源可能為本金),穩健型,澳幣,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,2.88,0.4,0.8,0.15,0.17,1744百萬(美元),2012/8/22,-1.13,0.6,0.63,0.6,5.32,11.93,4.45,25.4,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
3990,高盛美國高股息-月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,美國,國外,股票型,高股息,國外-股票型,月配,11.89,0.08,0.19,0.21,0.95,514百萬(美元),2013/11/4,-5.55,-2.16,-2.33,-2.16,4.14,30.17,25.06,113.96,川普關稅陰霾揮之不去，美股續跌，美國初領失業金及續領失業金人數均優於預期，顯示就業市場仍穩健。建議可採左側交易方式，分批進場。
3991,高盛美國高股息-月配現澳幣對沖(本基金並無保證收益及配息且配息來源可能為本金),穩健型,澳幣,美國,國外,股票型,高股息,國外-股票型,月配,11.82,0.06,0.19,0.21,0.86,514百萬(美元),2013/11/4,-5.59,-2.39,-2.5,-2.39,3.21,26.65,19.11,98.87,川普關稅陰霾揮之不去，美股續跌，美國初領失業金及續領失業金人數均優於預期，顯示就業市場仍穩健。建議可採左側交易方式，分批進場。
3992,高盛美國高股息─月配現南非幣對沖(本基金並無保證收益及配息且配息來源可能為本金),穩健型,南非幣,美國,國外,股票型,高股息,國外-股票型,月配,11.99,0.15,0.19,0.22,12.43,514百萬(美元),2013/11/4,-5.38,-1.5,-0.84,-1.5,6.82,37.29,35.71,148.34,川普關稅陰霾揮之不去，美股續跌，美國初領失業金及續領失業金人數均優於預期，顯示就業市場仍穩健。建議可採左側交易方式，分批進場。
3993,高盛環球高股息─月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,全球,國外,股票型,高股息,國外-股票型,月配,9.12,0.23,0.82,0.27,0.88,652百萬(美元),2013/11/4,-1.31,4.2,1.25,4.2,8.34,23.36,21.38,97.69,川普關稅疑雲致全球股市震盪劇烈，不過基本面仍看好，建議可採左側交易，分批進場佈局。
3994,高盛環球高股息─月配現澳幣對沖(本基金並無保證收益及配息且配息來源可能為本金),穩健型,澳幣,全球,國外,股票型,高股息,國外-股票型,月配,7.95,0.22,0.75,0.21,0.7,652百萬(美元),2013/11/4,-2.27,2.94,2.52,2.94,7.28,21.12,18.29,87.7,川普關稅疑雲致全球股市震盪劇烈，不過基本面仍看好，建議可採左側交易，分批進場佈局。
3995,高盛環球非投資等級債-月現美元對沖(本基金之配息來源可能為本金),穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,2.87,0.47,0.8,0.14,0.17,1744百萬(美元),2014/11/18,-1.11,0.66,0.9,0.66,6.07,14.72,8.63,31.94,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
3996,高盛歐元高股息X-月配現(本基金並無保證收益及配息且配息來源可能為本金),穩健型,歐元,歐洲,國外,股票型,高股息,國外-股票型,月配,10.29,0.19,0.73,0.92,3.44,1144百萬(美元),2013/11/5,0.23,11.5,8.28,11.5,7.94,22.51,35.21,117.37,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 49 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
3997,高盛歐元高股息X-月配現美元對沖(本基金並無保證收益及配息且配息來源可能為本金),穩健型,美元,歐洲,國外,股票型,高股息,國外-股票型,月配,10.32,0.24,0.73,0.92,4.09,1144百萬(美元),2014/4/23,0.43,12.05,9.29,12.05,9.91,27.11,45.37,141.17,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 50 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
3998,高盛歐元高股息X-月配現澳幣對沖(本基金並無保證收益及配息且配息來源可能為本金),穩健型,澳幣,歐洲,國外,股票型,高股息,國外-股票型,月配,10.31,0.21,0.73,0.91,3.64,1144百萬(美元),2013/11/5,0.41,11.99,9.02,11.99,8.65,23.67,37.82,121.96,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 51 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
3999,高盛新興市場債券-月配現南非幣對沖(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,南非幣,新興市場,國外,債券型,債券型,國外-債券型,月配,5.86,0.38,0.8,0.36,3.29,5614百萬(美元),2014/6/30,-0.62,2.69,1.56,2.69,9.15,24.36,16.39,38.53,新興市場債券之殖利率相較成熟市場會來的相對高些，現階段以強勢貨幣計價的新興市場債券更具吸引力。
39A0,高盛亞洲債券基金X─南幣對沖月配現(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),穩健型,南非幣,亞洲,國外,債券型,債券型,國外-債券型,月配,3.87,0.54,0.54,-0.2,-3.64,187百萬(美元),2015/3/4,0.08,2.73,1.99,2.73,8.7,17.08,14.03,18.94,債市殖利率普遍墊高，市場已反應聯準會將緩降息的預期，長天期公債殖利率恐仍有上揚風險。各債市中，公債或投資級債券殖利率仍顯著高於金融海嘯後平均水準。非投資級債之殖利率儘管較高，然而利差已降至低檔，需要嚴選持債。
39A1,高盛投資級公司債基金X-南非幣對沖月配現(本基金之配息來源可能為本金),保守型,南非幣,全球,國外,債券型,債券型,國外-債券型,月配,6.81,0.26,1.06,0.31,9.56,4588百萬(美元),2019/10/8,0.06,3.18,0.2,3.18,7.3,14.48,9.6,25.25,"1.川普2.0美國景氣有撐，非投資級債可受惠經濟成長。
2.聯準會緩降息，美國非投資級債殖利率具吸引力，且利率波動風險低。
3.美國非投資等級債企業基本面優異，可望使違約率維持於低檔。"
39A2,高盛環球非投資等級債X-南非幣對沖月配現(本基金之配息來源可能為本金),穩健型,南非幣,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,月配,2.83,0.78,0.78,0.15,2.75,1744百萬(美元),2019/12/5,-0.87,1.41,2.48,1.41,9.22,21.61,18.68,55.4,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
39A6,高盛全球永續股票基金X股美元,穩健型,美元,全球,國外,股票型,永續,國外-股票型,無,12.42,-0.11,0.32,0.54,2.15,1823百萬(美元),2019/11/26,-5.35,-5,-8.86,-5,-4.15,12.99,3.29,86.07,川普關稅疑雲致全球股市震盪劇烈，不過基本面仍看好，建議可採左側交易，分批進場佈局。
4001,駿利亨德森遠見泛歐地產股票基金,積極型,歐元,歐洲,國外,房地產,房地產,國外-房地產,無,15.98,-0.06,0.79,1.3,0.65,583百萬(歐元),1998/7/1,-3.8,-1.19,-15.94,-1.19,-3.31,18.28,-25.38,14.92,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 94 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
4003,駿利亨德森遠見日本機會基金,穩健型,美元,日本,國外,股票型,股票型,國外-股票型,無,9.46,-0.14,0.14,0.55,0.13,5830百萬(日圓),1985/7/31,1.24,2.6,-4.36,2.6,-3.66,23.15,17.24,58.43,日本經濟維持溫和擴張，在歷經三十年後正走出通貨緊縮困境邁入通膨環境，消費者將增加支出、企業可望擴大資本支出，將創造投資機會，日本股市的每股盈餘獲利穩定且基期偏低，日股相對全球股市折價但卻能提供類似美國市場中科技及成長的元素，加上近年日本公司治理水準提升，預期有利股價表現。此外，評估日本央行將採取溫和漸進的方式回收寬鬆貨幣政策，避免對經濟與金融市場帶來過大衝擊。
4004,駿利亨德森遠見泛歐小型公司基金,積極型,歐元,歐洲,國外,中小型股,中小型股,國外-中小型股,無,11.47,0.05,0.52,1.21,0.87,1200百萬(歐元),1993/8/2,-2.12,0.95,-4.74,0.95,2.56,6.99,4.48,104.65,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 95 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
4005,駿利亨德森遠見泛歐地產股票基金A2美元避,積極型,美元,歐洲,國外,房地產,房地產,國外-房地產,無,15.94,-0.03,0.79,1.31,0.51,583百萬(歐元),2014/6/13,-3.74,-0.83,-15.2,-0.83,-1.65,22.93,-19.31,27.06,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 96 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
4101,貝萊德亞洲老虎債券基金A2美元(本基金有相當比重投資於非投資等級之高風險債券),穩健型,美元,亞洲,國外,債券型,債券型,國外-債券型,無,3.9,0.45,0.44,0.1,0.04,"2,057百萬(美元)",1996/2/2,0.31,2.96,1.08,3.08,7.67,13.05,6.37,2.58,債市殖利率普遍墊高，市場已反應聯準會將緩降息的預期，長天期公債殖利率恐仍有上揚風險。各債市中，公債或投資級債券殖利率仍顯著高於金融海嘯後平均水準。非投資級債之殖利率儘管較高，然而利差已降至低檔，需要嚴選持債。
4104,貝萊德歐元優質債券基金A2歐元,保守型,歐元,歐洲,國外,債券型,債券型,國外-債券型,無,4.02,0.08,0.53,0.26,0.07,"1,900百萬(歐元)",1994/3/31,-0.77,-0.33,-0.77,-0.62,2.45,6.33,-4.42,-7.6,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 97 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
4105,貝萊德環球非投資等級債券基金A2美元,穩健型,美元,全球,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,無,3.61,0.35,1.1,-0.9,-0.28,"1,964百萬(美元)",2007/6/8,-1.61,0.1,0.84,0.42,6.93,17.66,11.56,36.51,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
4106,貝萊德美元非投資等級債券基金A2美元,穩健型,美元,美國,國外,非投資等級債券,非投資等級債券,國外-非投資等級債券,無,3.86,0.27,1.24,-0.98,-0.41,"2,502百萬(美元)",1993/10/29,-1.76,-0.22,0.02,0.05,6.1,16.45,11.74,34.35,受惠經濟成長，對利率敏感度較低，同時殖利率相對具吸引力，可作為投組中之穩定配置。
4108,貝萊德環球政府債券基金A2美元,保守型,美元,全球,國外,市政債券,市政債券,國外-市政債券,無,3.68,0.27,1.27,0.43,0.13,847百萬(美元),1987/5/14,0.33,1.25,0.13,1.28,4.64,5.86,-0.63,-4.31,債市殖利率普遍墊高，市場已反應聯準會將緩降息的預期，長天期公債殖利率恐仍有上揚風險。各債市中，公債或投資級債券殖利率仍顯著高於金融海嘯後平均水準。非投資級債之殖利率儘管較高，然而利差已降至低檔，需要嚴選持債。
4109,貝萊德美元優質債券基金A2美元,保守型,美元,美國,國外,債券型,債券型,國外-債券型,無,5.05,0.25,0.83,0.18,0.06,478百萬(美元),1989/4/7,0.89,3.25,-0.06,3.07,6.03,5.9,0.44,-1.14,債市殖利率普遍墊高，市場已反應聯準會將緩降息的預期，長天期公債殖利率恐仍有上揚風險。各債市中，公債或投資級債券殖利率仍顯著高於金融海嘯後平均水準。非投資級債之殖利率儘管較高，然而利差已降至低檔，需要嚴選持債。
4112,貝萊德世界健康科學基金A2美元,穩健型,美元,全球,國外,健康護理股,健康護理股,國外-健康護理股,無,14.81,-0.08,0.99,-3.46,-2.39,"14,003百萬(美元)",2001/4/6,-4.55,4.15,-5.05,4.1,-0.03,10.07,7.1,52.13,健康護理類股對經濟的敏感度相較於其他類股來的低，整體具有防禦特質，惟現階段無明顯之利多。
4113,貝萊德世界黃金基金A2美元,積極型,美元,全球,國外,貴重金屬,貴重金屬,國外-貴重金屬,無,19.4,0.45,0.97,-4.26,-2.16,"4,435百萬(美元)",1994/12/30,11.66,25.73,14.85,30.86,41.85,41.34,22.72,74.3,因美國總統川普宣布的新汽車關稅在全世界掀起貿易緊張，金價收紅且再創新高，短線仍有震盪，現階段仍長線看好。
4114,貝萊德世界礦業基金A2美元,積極型,美元,全球,國外,天然資源,天然資源,國外-天然資源,無,18.96,-0.23,0.94,-7.31,-4.28,"4,178百萬(美元)",1997/3/24,-0.98,2.84,-12.16,3.96,-6.08,-11.07,-24.65,101.65,現階段無明顯利多，屬波動度較高之標的，宜謹慎布局。
4115,貝萊德永續能源基金A2美元,積極型,美元,全球,國外,新能源,新能源,國外-新能源,無,12.38,-0.47,0.27,-5.75,-0.83,"4,046百萬(美元)",2001/4/6,-3.22,-8.2,-16.05,-7.38,-11.63,-14.3,-13.12,72.73,現階段較無明顯之利多，波動性相對大，宜謹慎投資。
4116,貝萊德世界能源基金A2美元,積極型,美元,全球,國外,能源,能源,國外-能源,無,11.76,-0.4,0.64,-8.58,-2.18,"1,904百萬(美元)",2001/4/6,0.91,1.72,-0.63,4.14,-5.82,8.35,17.2,163.42,現階段較無明顯之利多，波動性相對大，宜謹慎投資。
4117,貝萊德拉丁美洲基金A2美元,積極型,美元,拉丁美洲,國外,股票型,股票型,國外-股票型,無,23.2,-0.3,0.99,-5.87,-3.63,559百萬(美元),1997/1/9,9.52,18.25,-4.52,18.25,-15.19,6.2,-9.15,56.87,目前巴西市場缺乏利多題材，結構性問題短期難有改善，可期待的選舉行情仍要等到明年 10 月，這也意味著在缺乏市場催化劑的情況下，巴西股市較難有發揮空間。
4119,貝萊德新興市場基金A2美元,積極型,美元,新興市場,國外,股票型,股票型,國外-股票型,無,13.19,-0.26,0.78,-4.61,-1.66,947百萬(美元),1993/12/1,-1.96,-0.99,-9.59,-1.48,-5.36,0.06,-13.62,16.53,聯準會維持基準利率不變、主席鮑爾淡化關稅對通膨的影響，帶動新興股市多數走揚，建議可分批布局。
4120,貝萊德歐元市場基金A2歐元,穩健型,歐元,歐洲,國外,股票型,股票型,國外-股票型,無,17.77,-0.08,1.04,-5.45,-2.48,"1,674百萬(歐元)",1999/1/4,-9.42,1.16,2.39,0.98,0.78,17.98,20.99,95.19,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 42 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
4121,貝萊德歐洲基金A2歐元,穩健型,歐元,歐洲,國外,股票型,股票型,國外-股票型,無,19.18,-0.21,1.09,-5.49,-9.8,"1,476百萬(歐元)",1993/11/30,-11.57,-4.97,-6.58,-4.99,-7.77,6.16,3.34,74.91,現在歐洲剛踏入降息週期，未來經濟活動數據有望受到歐洲央行 43 個月前首次降息的帶動，加上歐洲央行目前正穩定降息，歐洲未來的經濟數據有機會逐漸回升，建議逢回買進。
